title,rus_title,kz_title,city_from,pop_1979,pop_1989,pop_1999,pop_2009,pop_2014,pop_2019,status,region,area,altitude,timezone,zipcode,current_pop,lat,lon
Аягоз,Аягоз,Аягөз,1939,38969.0,42729.0,38470.0,37537.0,37392.0,38536.0,4,Восточно-Казахстанская область,160.73,654.0,UTC+6:00,"070200 — 070202, F24****",38496.0,47.96667,80.43333
Байконур,Байконыр,Байқоңыр,1969,,74700.0,28776.0,36175.0,73464.0,39108.0,1,"Кызылординская область,арендуется Российской Федерацией[8]",54.98,100.0,UTC+5:00,46832x и 710501,76019.0,45.61667,63.31667
Балхаш,Балхаш,Балқаш,1937,78145.0,86742.0,65431.0,68833.0,71339.0,72885.0,3,Карагандинская область,230.0,440.0,UTC+6:00,100300—100316,72892.0,46.84278,74.9775
Булаево,Булаево,Булаев,1969,,11300.0,9638.0,8433.0,7606.0,7742.0,4,Северо-Казахстанская область,,,UTC+6:00,150800,7742.0,54.90556,70.44389
Державинск,Державинск,Державин,1966,,,7869.0,6309.0,6307.0,6022.0,4,Акмолинская область,,262.0,UTC+6:00,021100,6307.0,51.1,66.31667
Ерейментау,Ерейментау,Ерейментау,1965,,,15087.0,12518.0,10349.0,9130.0,4,Акмолинская область,,,UTC+6:00,020800,9128.0,51.61667,73.1
Есик,Есик,Есік,1968,,,31254.0,34335.0,38440.0,33024.0,4,Алматинская область,47.3,1214.0,UTC+6:00,040400-040403,33032.0,43.35,77.45
Есиль,Есиль,Есіл,1963,,,13096.0,11551.0,10895.0,10545.0,4,Акмолинская область,,,UTC+6:00,020900,10546.0,51.95556,66.40417
Жанаозен,Жанаозен,Жаңаөзен,1968,34000.0,48300.0,48871.0,91332.0,110272.0,81545.0,3,Мангистауская область,0.515,171.0,UTC+5:00,130200,156000.0,43.33889,52.85556
Жанатас,Жанатас,Жаңатас,1969,,37000.0,25927.0,20731.0,21658.0,22383.0,4,Жамбыльская область,,,UTC+6:00,080700 — 080703,22364.0,43.56667,69.75
Жаркент,Жаркент,Жаркент,1891,,,32656.0,33350.0,42809.0,42597.0,4,Алматинская область,,,UTC+6:00,041300-041305,42809.0,44.16667,80.0
